DEBUT_RANK,SPOTIFY_POPULARITY,HAS_PLAYLIST,GENRE_Hip-Hop/Rap,GENRE_Country,LOUDNESS,DURATION,HIT
99,51,0,False,False,-7.29,262060.0,0
96,48,0,False,False,-10.803,162560.0,1
78,35,0,False,False,-16.501875,145466.0,0
9,71,0,True,False,-5.429,248586.0,1
83,64,0,True,False,-8.622,180666.0,0
18,68,0,False,False,-8.832,260440.0,0
60,83,1,True,False,-10.061,199437.0,0
97,1,1,False,False,-9.288,167653.0,0
95,23,0,True,False,-10.859,274053.0,0
94,50,0,False,False,-8.635,228840.0,0
81,42,0,False,False,-8.21,215093.0,0
82,40,0,False,False,-4.247,219813.0,1
73,68,0,True,False,-4.31,153474.0,0
34,75,1,True,False,-5.738,196693.0,1
98,53,0,False,False,-8.308,178266.0,1
96,42,0,False,False,-8.21,215093.0,0
97,42,0,False,False,-8.21,215093.0,0
89,41,0,False,False,-9.23,139160.0,0
61,70,1,False,False,-7.499,235133.0,1
1,90,1,False,False,-10.732,178627.0,1
87,33,0,False,False,-8.552,154573.0,0
98,60,0,False,False,-9.621,305773.0,0
6,75,0,False,True,-5.13,210506.0,1
84,61,1,False,False,-4.404,213453.0,1
96,79,1,False,False,-5.829,237300.0,1
96,42,0,False,False,-8.21,215093.0,0
92,42,0,False,False,-8.21,215093.0,0
79,80,1,False,False,-13.239,173202.0,0
21,66,0,True,False,-7.87,195720.0,0
83,8,0,False,True,-16.501875,167440.0,0
77,41,1,False,False,-9.478,306693.0,1
95,63,0,False,True,-5.413,211767.0,0
79,42,0,False,False,-8.21,215093.0,0
46,73,0,False,True,-5.254,190680.0,0
88,43,1,False,False,-7.201,231080.0,1
95,49,0,True,False,-2.665,298240.0,0
98,32,0,True,False,-8.536,334340.125,0
78,32,0,False,False,-4.065,240733.0,0
45,62,0,True,False,-7.296,255786.0,0
93,42,0,False,False,-8.21,215093.0,0
57,42,0,True,False,-8.21,215093.0,0
68,55,0,False,False,-11.745,286813.0,1
61,50,0,True,False,-6.777,239986.0,0
73,77,0,False,False,-5.852,162466.0,1
98,42,0,False,False,-8.21,215093.0,0
77,47,0,True,False,-9.185,259333.0,0
40,74,1,False,False,-4.82,211427.0,0
94,68,1,True,False,-11.792,286440.0,0
8,42,0,True,False,-8.21,215093.0,1
98,37,0,False,False,-5.385,143280.0,0
86,32,0,False,False,-11.395,185573.0,0
75,54,0,False,False,-5.965,176866.0,1
90,42,0,False,True,-8.21,215093.0,1
93,42,0,False,False,-8.21,215093.0,0
85,49,0,False,False,-13.873,316053.0,0
77,42,0,False,True,-8.21,215093.0,0
74,73,1,False,False,-7.495,232467.0,1
100,42,0,False,False,-8.21,215093.0,0
94,60,1,True,False,-4.079,234627.0,0
58,19,0,False,False,-4.115,143760.0,0
89,6,0,False,False,-10.351,216106.0,0
81,24,0,False,False,-11.43,334340.125,0
83,42,0,True,False,-8.21,215093.0,0
65,68,1,True,False,-6.49,233061.0,0
94,40,0,False,False,-10.409,219293.0,0
76,42,0,False,False,-8.21,215093.0,0
95,54,0,True,False,-4.884,257120.0,1
56,49,0,False,False,-12.833,151800.0,1
86,9,0,False,False,-10.766,172800.0,0
86,17,0,False,False,-14.718,240400.0,0
43,42,0,False,False,-8.21,215093.0,1
97,29,0,False,True,-8.092,218979.0,0
74,73,0,True,False,-8.302,210253.0,0
42,62,0,False,True,-12.144,233813.0,1
63,12,0,False,False,-14.031,117093.0,1
83,3,0,False,False,-11.61,177133.0,0
95,6,0,False,False,-7.491,146560.0,0
66,42,0,False,False,-8.21,215093.0,0
72,31,0,False,False,-9.5,232660.0,0
95,29,0,False,False,-9.166,165826.0,0
89,30,0,False,False,-12.987,188200.0,0
22,39,0,False,False,-10.031,168293.0,0
91,42,0,False,False,-8.21,215093.0,0
56,42,0,False,False,-8.21,215093.0,0
70,0,1,False,False,-9.919,191133.0,0
80,42,0,False,False,-8.21,215093.0,0
90,42,0,False,False,-8.21,215093.0,0
94,31,0,False,False,-15.127,334340.125,0
94,1,0,False,False,-10.513,140800.0,0
95,9,0,False,False,-12.323,175440.0,0
93,42,0,False,False,-8.21,215093.0,0
78,25,0,False,False,-14.102,194733.0,1
97,42,0,False,False,-8.21,215093.0,0
76,42,0,True,False,-8.21,215093.0,0
91,0,1,False,False,-4.446,235040.0,0
85,33,0,False,False,-12.934,141800.0,0
86,42,0,False,False,-8.21,215093.0,0
81,42,0,False,False,-8.21,215093.0,0
57,59,0,False,False,-10.34,243533.0,1
63,50,0,False,True,-5.027,208573.0,0
73,3,0,False,False,-13.851,158093.0,0
58,13,0,False,False,-13.868,203906.0,0
85,28,0,False,False,-12.308,145160.0,0
95,27,0,False,False,-13.49,334340.125,0
73,43,0,False,False,-13.372,239306.0,0
94,37,0,False,True,-8.35,210640.0,0
78,0,0,False,True,-13.624,224258.0,0
80,50,0,False,False,-13.311,182533.0,1
90,21,0,False,False,-6.035,165746.0,0
77,34,0,False,False,-9.326,265600.0,0
87,45,0,False,False,-8.429,160626.0,0
65,17,0,False,False,-9.038,121786.0,0
90,22,0,False,False,-7.618,163053.0,0
64,42,0,False,False,-8.21,215093.0,1
90,42,0,False,False,-8.21,215093.0,0
99,42,0,False,False,-8.21,215093.0,0
98,1,0,False,False,-16.501875,158014.0,0
80,40,0,False,False,-11.77,257333.0,0
98,61,0,False,True,-4.405,217840.0,0
43,63,1,True,False,-7.455,236583.0,0
97,42,0,False,False,-8.21,215093.0,0
93,49,0,False,False,-9.344,282866.0,0
61,31,0,False,False,-8.613,170313.0,1
99,16,0,False,False,-4.288,136560.0,0
76,37,0,False,True,-5.183,188573.0,0
94,58,0,False,False,-10.224,281800.0,0
54,57,0,False,False,-3.832,258922.0,0
78,24,0,False,False,-13.791,121003.0,1
97,59,0,False,True,-3.472,196000.0,0
97,65,0,False,True,-4.593,189466.0,0
99,42,0,False,False,-8.21,215093.0,0
58,19,0,False,False,-14.332,303466.0,0
21,69,0,False,False,-6.481,154200.0,1
81,54,1,False,False,-11.203,137480.0,0
83,44,0,False,False,-16.501875,191800.0,0
46,80,0,False,False,-13.056,135533.0,1
46,82,0,False,False,-12.937,135533.0,1
84,77,1,False,False,-16.501875,252240.0,1
97,2,0,False,False,-12.149,131239.0,0
93,42,0,False,False,-8.21,215093.0,0
94,16,0,False,False,-15.692,181000.0,0
96,33,0,False,False,-13.69,188493.0,0
70,41,0,False,False,-6.133,282920.0,0
92,42,0,False,False,-8.21,215093.0,0
