GENRE,count
alternative pop rock,3
progressive rock,3
wu fam,2
new jack smooth,2
lds,2
hawaiian hip hop,2
canadian ccm,2
electronica,2
neo-traditional bluegrass,2
rockabilly,2
wind ensemble,2
german pop,2
rawstyle,2
psychedelic rock,2
folk metal,2
danish pop,2
pop reggaeton,2
boston hip hop,2
cantautor,2
desi hip hop,2
electropowerpop,2
house,2
chillhop,2
operatic pop,2
brooklyn indie,2
utah indie,2
grunge pop,2
austindie,2
anthem emo,2
dark trap,2
orchestra,2
classic psychedelic rock,2
lo-fi beats,2
belgian pop,2
hardcore hip hop,2
contemporary folk,2
deep progressive trance,2
swedish pop,2
deep norteno,2
tropical house,2
deep latin christian,2
scottish new wave,2
bolero,2
australian children s music,2
australian singer-songwriter,2
traditional scottish folk,2
meme rap,2
alternative americana,2
german jazz,2
plunder,2
light music,2
belgian dance,2
bboy,2
miami hip hop,2
deep melodic hard rock,2
anti-folk,2
new americana,2
kids dance party,2
funk metal,2
broken beat,2
chamber orchestra,2
kentucky hip hop,2
future funk,2
la indie,2
british choir,2
enka,2
jazz orchestra,2
ohio hip hop,2
canadian blues,2
go-go,2
south african pop,2
small room,2
mallet,1
classical tenor,1
pinoy praise,1
rebel blues,1
dirty texas rap,1
classic russian rock,1
mambo,1
new orleans funk,1
singaporean pop,1
progressive psytrance,1
traditional folk,1
vapor pop,1
texas blues,1
canadian post-rock,1
dark techno,1
oi,1
easycore,1
canadian punk,1
new orleans rap,1
experimental,1
derby indie,1
levenslied,1
p funk,1
cancion melodica,1
oslo indie,1
austropop,1
screamo,1
hyphy,1
no wave,1
jazz brass,1
milwaukee hip hop,1
tribal house,1
funana,1
musica per bambini,1
sertanejo pop,1
brazilian psychedelic,1
deep funk house,1
british comedy,1
massage,1
swedish rockabilly,1
modern downshift,1
arkansas hip hop,1
classical cello,1
albuquerque indie,1
post-disco soul,1
german shoegaze,1
contemporary post-bop,1
canadian contemporary country,1
exotica,1
british jazz,1
synthpop,1
jazz vibraphone,1
midwest americana,1
spacewave,1
romantico,1
chicago indie,1
classical,1
moog,1
classic danish pop,1
progressive trance,1
canadian soundtrack,1
nightcore,1
futurepop,1
polka,1
bassline,1
acoustic punk,1
healing,1
canadian electronic,1
brass band,1
estonian hip hop,1
ambient psychill,1
progressive house,1
french indie pop,1
metal,1
azonto,1
comic metal,1
deathcore,1
irish singer-songwriter,1
yodeling,1
modern blues,1
brazilian death metal,1
belgian metal,1
psychobilly,1
rap rock,1
dutch rock,1
wind quintet,1
soundtrack,1
classic eurovision,1
german rock,1
belgian rock,1
dutch r&b,1
opm,1
basshall,1
pop r&b,1
american post-rock,1
alt-idol,1
electro swing,1
reggaeton,1
spanish invasion,1
skiffle,1
new age,1
classic j-rock,1
rif,1
vintage french electronic,1
psychedelic blues-rock,1
k-rap,1
gospel singers,1
finnish punk,1
dutch indie,1
environmental,1
jazz trombone,1
detroit trap,1
beatlesque,1
catstep,1
focus beats,1
alabama metal,1
indiecoustica,1
sydney indie,1
gabba,1
british country,1
bc underground hip hop,1
metallic hardcore,1
red dirt,1
english indie rock,1
balkan brass,1
steel guitar,1
retro soul,1
sertanejo,1
christian pop,1
uk pop,1
melodic hardcore,1
metropopolis,1
post-grunge,1
german soundtrack,1
deep smooth jazz,1
talent show,1
bass trip,1
buffalo ny metal,1
uk alternative hip hop,1
bhangra,1
british indie rock,1
new french touch,1
nu-metalcore,1
classic nz pop,1
southern soul blues,1
anime,1
afro house,1
nerdcore,1
trap queen,1
euroska,1
classic belgian pop,1
funeral doom,1
grime,1
cyberpunk,1
barbershop,1
harmonica blues,1
deep house,1
native american spiritual,1
vapor trap,1
indie rock,1
deep funk,1
argentine rock,1
hyperpop,1
electronicore,1
kent indie,1
swedish alternative rock,1
east coast reggae,1
modern blues rock,1
memphis blues,1
deep eurodance,1
uk post-punk,1
c-pop,1
deep acoustic pop,1
banjo,1
deep punk rock,1
21st century classical,1
viral rap,1
norteno,1
chinese hip hop,1
destroy techno,1
classic norwegian pop,1
chinese indie,1
j-ambient,1
normal indie,1
vintage italian soundtrack,1
traditional funk,1
turntablism,1
dark post-punk,1
reggae rock,1
alabama indie,1
cumbia,1
boogie-woogie,1
gymcore,1
halloween,1
progressive uplifting trance,1
industrial,1
gypsy jazz,1
french worship,1
jazz saxophone,1
gauze pop,1
chicago hardcore,1
belgian experimental,1
latin hip hop,1
library music,1
didgeridoo,1
deep vocal house,1
deep classic garage rock,1
indie singer-songwriter,1
psychedelic folk,1
vocal trance,1
ballroom,1
french pop,1
birmingham hip hop,1
classic opm,1
alternative roots rock,1
australian indie,1
west coast rap,1
